ktax.id	tax.id	kegg.code	scientific.name	common.name	entrez.gnodes	kegg.geneid	ncbi.geneid	ncbi.proteinid	uniprot
T04391	1632	lor	Limosilactobacillus oris		0	AYI71_15230	NA	AMS09957	NA
T06850	1633	lva	Limosilactobacillus vaginalis		0	LV515_00515	NA	QFS33509	NA
T06870	104955	lfn	Limosilactobacillus frumenti		0	LF145_05055	NA	QFG72741	NA
T07022	35787	lpon	Limosilactobacillus pontis		0	LP475_00620	NA	QFV00357	A0A5P9QGJ7
T07129	227942	lgas	Limosilactobacillus gastricus		0	LG045_00515	NA	QGF39730	NA
T07939	47493	lpas	Limosilactobacillus panis		0	KZE55_01695	NA	QZN93307	NA
T06235	82688	lng	Liquorilactobacillus nagelii		0	BSQ50_01800	NA	AUJ31406	A0A3S6QTF6
T06631	468911	lhw	Liquorilactobacillus hordei		0	BSQ49_02605	NA	AUJ29191	A0A3S6QML7
T06815	1618	lmal	Liquorilactobacillus mali		0	LM596_10935	NA	QFQ75570	NA
T01627	1625	lsn	Lactobacillus sanfranciscensis		0	LSA_04690	NA	AEN98917	G2KV28
T04666	53444	lle	Fructilactobacillus lindneri		0	AYR59_02950	NA	ANZ59066	NA
T06838	1614	lfv	Fructilactobacillus fructivorans		0	LF543_03685	NA	QFX92713	NA
T08281	1750535	fix	Fructilactobacillus ixorae		0	M8332_01080	NA	USS93491	NA
T01477	1581	lbh	Lentilactobacillus buchneri NRRL B-30929		0	Lbuc_0370	NA	AEB72643	NA
T02244	1581	lbn	Lactobacillus buchneri subsp. silagei CD034		0	LBUCD034_0097	NA	AFR99209	J9W2F4
T04617	152331	lpar	Lactobacillus parabuchneri		0	FAM21731_01874	NA	APR08029	A0A1X1FDF5
T04707	1138822	lcu	Lentilactobacillus curieae		0	PL11_009775	NA	AQW22193	A0A1S6QKU3
T06710	33962	lkf	Lentilactobacillus kefiri		0	DNL43_02730	NA	QGV24252	A0A6B8ZEH7
T06851	1588	lhil	Lentilactobacillus hilgardii		0	G8J22_02099	NA	QIR10092	A0A6G9Q6M2
T08206	2883998	llao	Lentilactobacillus laojiaonis		0	LHL71_06060	NA	UDM32090	NA
T00406	1580	lbr	Lactobacillus brevis ATCC 367		0	LVIS_1439	NA	ABJ64537	Q03QI5
T02528	1580	lbk	Levilactobacillus brevis KB290		0	LVISKB_0713	NA	BAN06348	M5ABZ1
T03995	637971	lko	Levilactobacillus koreensis		0	ABN16_03630	NA	AKP65985	NA
T05206	267363	lzy	Lactobacillus zymae		0	LZ3411_2138	NA	SMS15188	A0A1Y6JZ42
T06901	2292255	lsua	Levilactobacillus suantsaii		0	H3M12_09310	NA	QMU07657	NA
